Projet	Titre du projet	Title Translated	Engagement de GdB (USD)	Descriptif	Agence de financement	Source de Financement	Région	Province	Commune	A l’Echelle National	Secteur	Sous-Secteur
BDI/000088	APEFE Programme 2011 - 2013 BURUNDI : EDUCATION secteur de la formation technique et professionnelle / SANTE en Kinésithérapie	APEFE Programme 2011 - 2013 BURUNDI: EDUCATION sector of technical and vocational / training Physiotherapy HEALTH			Belgique	Belgique	Sud; Ouest; Centre-Est; Nord	Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi	Non spécifié	Oui	EDUCATION	Éducation post-secondaire
BDI/000089	Une réponse du Syndicat Libéral de Belgique à la lutte contre la pauvreté en Afrique	A response from the Liberal Union of Belgium in the fight against poverty in Africa			Belgique	Belgique	Sud; Ouest; Centre-Est; Nord	Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi	Non spécifié	Oui	GOUVERNEMENT ET SOCIETE CIVILE	Renforcement de la société civile
BDI/000090	Projet Interuniversitaire Cible (PIC) 2011 Burassain	Target Interuniversity Project (ICP) 2011 Burassain			Belgique	Belgique	Sud; Ouest; Centre-Est; Nord	Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi	Non spécifié	Oui	EDUCATION	Éducation post-secondaire
BDI/000091	Programme de Coopération Universitaire Institutionnelle (CUI) mis en œuvre par le Conseil inter-universitaire flamand (Vlaamse Inter-universitaire Raad -VLIR) avec l'Université du Burundi	Institutional University Cooperation Programme (CUI) implemented by the Flemish Interuniversity Council (Vlaamse Raad Inter-university-VLIR) with the University of Burundi			Belgique	Belgique	Sud; Ouest; Centre-Est; Nord	Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi	Non spécifié	Oui	EDUCATION	Éducation post-secondaire
BDI/000092	Etude du plan directeur pour le secteur portuaire	Study the master plan for the port sector			Japan International Cooperation Agency (JICA)	Japon	Sud; Ouest	Mairie de Bujumbura; Bururi	Non spécifié	Non	TRANSPORTS ET ENTREPOSAGE	Transport par voies d’eau
BDI/000093	CIUF-CUD Coopération Universitaire Institutionnelle  (CUI)  2008-2013- Université du Burundi	CIUF-CUD Institutional University Cooperation (IUC) 2008-2013 - University of Burundi			Belgique	Belgique	Sud; Ouest; Centre-Est; Nord	Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi	Non spécifié	Oui	EDUCATION	Éducation post-secondaire
BDI/000094	Projet de cooperation universitaire - Initiative propre 2007 - Soutien aux départements de Mathématiques et Physique de l'Université du Burundi en matière d'enseignement, recherche, agrégation et rayonnement	University cooperation project - clean 2007 Initiative - Supporting departments of Mathematics and Physics at the University of Burundi in education, research, aggregation and radiation			Belgique	Belgique	Sud; Ouest; Centre-Est; Nord	Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi	Non spécifié	Oui	EDUCATION	Éducation post-secondaire
BDI/000095	Enfants, victimes des conflits dans la région des Grands Lacs sont acceptés dans leur communauté	Children, victims of conflicts in the Great Lakes region are accepted in their community			Belgique	Belgique	Ouest; Centre-Est	Mairie de Bujumbura; Gitega	Non spécifié	Non	GOUVERNEMENT ET SOCIETE CIVILE	Enfants soldats (Prévention et démobilisation)
BDI/000096	Supporting Communities for Peaceful Elections (SCOPE)	Supporting Communities for Peaceful Elections (SCOPE)			United States Agency for International Development	États Unis d'Amérique	Ouest	Bujumbura Rural	Non spécifié	Non	GOUVERNEMENT ET SOCIETE CIVILE	Élections
BDI/000097	Amélioration des capacités de gestion du partenaire	Improved capacity management partner			Belgique	Belgique	Sud; Ouest; Centre-Est; Nord	Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi	Non spécifié	Oui	GOUVERNEMENT ET SOCIETE CIVILE	Renforcement de la société civile
BDI/000098	Amélioration de la santé publique de base pour le groupe cible dans la zone d'intervention	Improving public health basis for the target group in the project area			Belgique	Belgique	Ouest	Bubanza	Non spécifié	Non	SANTE	Santé de base
BDI/000099	Les populations dans les zones d'intervention ont diminué leur vulnérabilité à l'insécurité alimentaire et augmenté leurs revenus dans le respect de l'environnement - Burundi	Populations in areas of intervention have reduced their vulnerability to food insecurity and increased their income in respect of the environment - Burundi			Belgique	Belgique	Sud; Ouest; Centre-Est; Nord	Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi	Non spécifié	Oui	AIDE HUMANITAIRE	Intervention d’urgence
BDI/000100	De 2011 à 2013, des travailleurs et travailleuses au Burundi bénéficient de d'une protection sociale améliorée, impulsent de bonnes politiques publiques en matière de droits sociaux, de protection sociale et accèdent aux emplois dignes.	From 2011 to 2013, of workers in Burundi benefit from improved social protection, are driving good public policy social rights, social protection and access to decent jobs.			Belgique	Belgique	Sud; Ouest; Centre-Est; Nord	Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi	Non spécifié	Oui	GOUVERNEMENT ET SOCIETE CIVILE	Administration gouvernementale
BDI/000101	READAPTATION: Les personnes en situation de handicap améliorent leur état de santé, leur fonctionnalité ou leur niveau d'autonomie	REHABILITATION: People with disabilities improve their health, functionality or level of autonomy			Belgique	Belgique	Sud; Ouest; Centre-Est; Nord	Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi	Non spécifié	Oui	GOUVERNEMENT ET SOCIETE CIVILE	Gouvernement et société civile, général
BDI/000102	Registration and Civic sensitization of Batwa	Registration and Civic sensitization of Batwa			United States Agency for International Development	États Unis d'Amérique	Sud; Ouest; Centre-Est; Nord	Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi	Non spécifié	Oui	GOUVERNEMENT ET SOCIETE CIVILE	Renforcement de la société civile
BDI/000103	ONG Service Laïque de Coopération au Développement - SLCD - programme 2011-2014 / Burundi	NGO Service Lay Development Cooperation - SLCD - 2011-2014 program / Burundi			Belgique	Belgique	Sud; Ouest; Centre-Est; Nord	Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi	Non spécifié	Oui	GOUVERNEMENT ET SOCIETE CIVILE	Renforcement de la société civile
BDI/000104	Accès et gestion durable de l'eau dans la région des Grands Lacs	Access and sustainable management of water in the Great Lakes region			Belgique	Belgique	Sud; Ouest; Centre-Est; Nord	Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi	Non spécifié	Oui	DISTRIBUTION D’EAU ET ASSAINISSEMENT	Distribution d’eau potable de base et assainissement de base
BDI/000105	Les capacités de la Croix-Rouge du Burundi sont améliorées: réduction des risques et réponses aux catastrophes, protection de l'enfant, diffusion des normes humanitaires et gestion administrative et financière	The capacity of the Red Cross Burundi improved: risk reduction and disaster response, child protection, dissemination of humanitarian standards and administrative and financial management			Belgique	Belgique	Sud; Ouest; Centre-Est; Nord	Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi	Non spécifié	Oui	GOUVERNEMENT ET SOCIETE CIVILE	Gestion et réforme des systèmes de sécurité
BDI/000106	KIRYAMA, ''L'intelligence des mains'' - Renforcement de l'enseignement technique par la modernisation des ateliers et l'accompagnement des enseignants	Kiryama,'' intelligence'' hands - Strengthening Technical Education through the modernization of workshops and support for teachers			Belgique	Belgique	Sud	Bururi	Non spécifié	Non	CONCOURS FOURNIS AUX ORGANISATIONS NON-GOUVERNEMENTALES	En faveur des ONG internationales
BDI/000107	Renforcement des capacités d'un réseau d'acteurs de changement social	Capacity of a network of actors of social change			Belgique	Belgique	Sud; Ouest; Centre-Est; Nord	Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi	Non spécifié	Oui	CONCOURS FOURNIS AUX ORGANISATIONS NON-GOUVERNEMENTALES	En faveur des ONG internationales
BDI/000108	Un impact politique par 19 partenaires en Afrique Centrale sur des thèmes du service de politique de 11.11.11	Political impact by 19 partners in Central Africa on issues of service policy 11.11.11			Belgique	Belgique	Sud; Ouest; Centre-Est; Nord	Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi	Non spécifié	Oui	CONCOURS FOURNIS AUX ORGANISATIONS NON-GOUVERNEMENTALES	En faveur des ONG nationales
BDI/000109	Agriculture paysanne durable - Burundi	Sustainable Peasant - Burundi			Belgique	Belgique	Ouest	Bujumbura Rural	Non spécifié	Non	CONCOURS FOURNIS AUX ORGANISATIONS NON-GOUVERNEMENTALES	En faveur des ONG internationales
BDI/000110	Offre de service d'enseignement et formation intégrale dans le sous-secteur Skills Development	Supply of education services and comprehensive training in the sub-sector Skills Development			Belgique	Belgique	Nord	Ngozi	Non spécifié	Non	EDUCATION	Formation des enseignants
BDI/000111	Geestelijke gezondheidszorg aan personen die nood hebben aan psychosociale zorg, psychiatrie of verslavingszorg binnen de Regio van de Grote Meren	Mental health care to people who need psychosocial care, psychiatric or addiction within the region of the Great Lakes			Belgique	Belgique	Ouest	Mairie de Bujumbura	Kamenge	Non	SANTE	Santé, général
BDI/000112	Développement rural au Burundi	Rural Development in Burundi			Belgique	Belgique	Sud; Ouest; Centre-Est; Nord	Kayanza; Muyinga; Ngozi; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Gitega	Non spécifié	Non	DESTINATION  PLURI-SECTO-RIELLE OU TRANSVERSALE	Développement rural
BDI/000113	Pour une justice conciliatrice et de proximité - RCN Justice & Démocratie	For a conciliatory justice and proximity - RCN Justice & Democracy			Belgique	Belgique	Sud; Ouest; Centre-Est; Nord	Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi	Non spécifié	Oui	GOUVERNEMENT ET SOCIETE CIVILE	Droits de la personne
BDI/000114	Lutte conte la lèpre et la tuberculose	Fight tale leprosy and tuberculosis			Belgique	Belgique	Sud; Ouest; Centre-Est; Nord	Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi	Non spécifié	Oui	SANTE	Lutte contre les maladies infectieuses
BDI/000115	Renforcement des capacités des familles et des communautés pour le respect des droits fondamentaux des orphelins et enfants vulnérables à Gitega	Strengthening the capacity of families and communities to respect the human rights of orphans and vulnerable children in Gitega			Belgique	Belgique	Centre-Est	Gitega	Non spécifié	Non	CONCOURS FOURNIS AUX ORGANISATIONS NON-GOUVERNEMENTALES	En faveur des ONG internationales
BDI/000116	Contribuer à l établissement d'un environnement légal favorable, qui promeut les droits de la personne humaine à travers l'élimination des violences sexuelles	Contribute to establishing a favorable legal environment, which promotes the rights of the human person through the elimination of sexual violence			Belgique	Belgique	Ouest; Centre-Est	Mairie de Bujumbura; Gitega	Non spécifié	Non	GOUVERNEMENT ET SOCIETE CIVILE	Gouvernement et société civile, général
BDI/000117	Acquérir plus de compétences et d autonomie par: le renforcement des capacités de l'AHD siège - le renforcement des capacités des ateliers des Groupements de l'AHD -  la création d'un centre de perfectionnement permanent à Bujumbura	Acquire more skills and autonomy: the capacity of the AHD seat - capacity building workshops Groupings of AHD - the creation of a permanent training center in Bujumbura			Belgique	Belgique	Ouest	Bujumbura Rural	Non spécifié	Non	GOUVERNEMENT ET SOCIETE CIVILE	Renforcement de la société civile
BDI/000118	Mission d'orientation Santé reproductive	Mission orientation Reproductive Health			Pays Bas	Pays-Bas	Sud; Ouest; Centre-Est; Nord	Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi	Non spécifié	Oui	SANTE	Santé de base
BDI/000119	Etude des modalités de mise en oeuvre du FMCA (Fonds de Micro-Crédit Agricole)	Study the terms of implementation of the FMCA (Fund Micro-Credit Agricole)			Pays Bas	Pays-Bas	Sud; Ouest; Centre-Est; Nord	Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi	Non spécifié	Oui	BANQUES ET SERVICES FINANCIERS	Intermédiaires financiers officiels
BDI/000120	Promotion pour la bonne gouvernance socio-économique locale et renforcement des capacités organisationnelles de l'OLUCOME	Promotion of good local governance and socio-economic organizational capacity OLUCOME			Belgique	Belgique	Sud; Ouest; Nord	Kayanza; Rutana; Muramvya; Bururi; Cibitoke	Non spécifié	Non	GOUVERNEMENT ET SOCIETE CIVILE	Renforcement de la société civile
BDI/000121	Appui aux producteurs de fruits pour mettre aux marché des fruits frais ou transformés	Support to fruit growers to the fresh market or processed			Belgique	Belgique	Sud; Ouest	Bururi; Cibitoke	Non spécifié	Non	AGRICULTURE	Production agricole
BDI/000122	Soutien à l'Observatoire INEZA des droits des Enfants (OIEDB)	Support the Observatory INEZA rights Children (OIEDB)			Belgique	Belgique	Non spécifié	Non spécifié	Non spécifié	Non	GOUVERNEMENT ET SOCIETE CIVILE	Droits de la personne
BDI/000124	Soutien au Centre d'Alerte et de la Prévention des Conflits	Support Alert Centre and Conflict Prevention			Belgique	Belgique	Sud; Ouest; Centre-Est; Nord	Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi	Non spécifié	Oui	GOUVERNEMENT ET SOCIETE CIVILE	Renforcement de la société civile
BDI/000125	Soutien à l'Association Radio sans frontières	Support for Radio Without Borders Association			Belgique	Belgique	Sud; Ouest; Centre-Est; Nord	Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi	Non spécifié	Oui	COMMUNICATIONS	Radio, télévision, presse écrite
BDI/000126	Projet Intégré d'amélioration durable de la sécurité alimentaire en province de Muyinga	Integrated sustainable improvement of food security project Muyinga			Belgique	Belgique	Nord	Muyinga	Non spécifié	Non	AGRICULTURE	Politique agricole et gestion administrative
